X,Y,tx_bairro,tx_email,tx_endereco,tx_escola,tx_tipo,tx_anos_2022,globalid,tx_regiao,tx_turno,tx_modalidade,objectid,tx_telefone
695495.0001,7469160.0028,Engenhoca,emadelino@educacao.niteroi.rj.gov.br,"R. Dr. Nelson Penna, 17 - Engenhoca",E.M. Adelino Magalhães,Ensino Fundamental,"3 a 5 anos; 1º e 2º ciclos",{1F73018D-DD5A-49C4-A697-E244CCDE50A2},Norte,Parcial,EI e EF,1,"3603-8245; 3603-8246"
694965.0001,7470210.0027,Barreto,emaltivocesar@educacao.niteroi.rj.gov.br,"R. Dr. Luiz Palmier, 25 - Barreto                                            
",E.M. Altivo César,Ensino Fundamental,"3º e 4º ciclos; EJA 1º, 2º, 3º e 4º ciclos",{D5D5DEEC-3007-4FAB-9DCC-D8108F60DAE6},Norte,Parcial,EF,2,"2694-1480; 2720-1661               "
692060.0001,7466450.0026,São Domingos,emanisioteixeira@educacao.niteroi.rj.gov.br,"Trav. Manoel Continentino, 31 - São Domingos",E.M. Anísio Teixeira,Ensino Fundamental,"1º e 2º ciclos; 6º ano",{C86E7698-1463-4898-B63F-ADD53084466B},Praias da Baía,Integral,EF,3,2729-1907
698492.0,7468160.0029,Caramujo,emantineiamiranda@educacao.niteroi.rj.gov.br,"Rodovia Amaral Peixoto, KM 02 - Caramujo",E.M. Antinéia Silveira Miranda,Ensino Fundamental,3º e 4º ciclos,{82D2FBA3-10AE-43A9-AA2C-B263E62266CA},Norte,Integral,EF,4,2729-1807
700470.0001,7468920.003,Santa Bárbara,emantonioazevedo@educacao.niteroi.rj.gov.br,"R.Nestor Perlingeiro, s/nº - Stª Bárbara",E.M. Antônio Coutinho de Azevedo,Ensino Fundamental,1º e 2º ciclos,{1F6EE5F3-4B04-474D-83A6-8310143424C1},Norte,Parcial,EF,5,"3601-4864; 3607-7326"
692991.0001,7466420.0026,Morro do Estado,emayrtonsenna@educacao.niteroi.rj.gov.br,"R. Altamiro José Cabral, s/nº - Morro do Estado",E.M. Ayrton Senna,Ensino Fundamental,1º e 2º ciclos,{E7A93C9B-F15D-46D8-88E2-ADAEF645B5EC},Praias da Baía,Parcial,EF,6,"2719-6812; 2719-6799"
694999.0,7468020.0027,Fonseca,emdemencianomoura@educacao.niteroi.rj.gov.br,"Trav. Magnólia Brasil, s/nº - Fonseca",E.M. Demenciano Antônio de Moura,Ensino Fundamental,"4 a 5 anos; 1º e 2º ciclos",{2353EF31-385E-4858-A8A1-8BA85D658E5E},Norte,Integral,EI e EF,7,3603-8373
702064.0001,7468230.0032,Maria Paula,emdiogenes@educacao.niteroi.rj.gov.br,"Est. Caetano Monteiro, s/nº - Pendotiba                                          
",E.M. Diógenes R. de Mendonça,Ensino Fundamental,"5 anos; 1º e 2º ciclos",{54B51BAC-62B9-4878-90E0-4AB8EB878245},Pendotiba,Parcial,EI e EF,8,"2729-4568; 2729-4569"
697227.0,7469340.0029,Fonseca,emdjalmacoutinho@educacao.niteroi.rj.gov.br,"R. Cinco de Março, 75- Fonseca",E.M. Djalma Coutinho de Oliveira,Ensino Fundamental,1º e 2º ciclos,{B9E3FB0B-C057-45CE-AB5E-EE21E3E8B60F},Norte,Integral,EF,9,"3603-8238; 3603-8239"
695726.0001,7468690.0027,Fonseca,emdomjose@educacao.niteroi.rj.gov.br,"R. Tenente Osório, 73 - Fonseca",E.M. Dom José Pereira Alves,Ensino Fundamental,1º e 2º ciclos,{09C24D1E-453A-41E9-8C23-C25515B71976},Norte,Integral,EF,10,3603-8052
